0.0 1.9 2.3 2.0145264
0.005 1.9 2.2443068 2.0215886
0.01 1.9 2.1447214 2.028135
0.015 1.9 2.088268 2.0306616
0.02 1.9 2.0536638 2.0288532
0.025 1.9 2.0271634 2.023384
0.03 1.9 2.0123611 2.0151253
0.035 1.9 1.9975991 2.0050054
0.04 1.9 1.9899008 1.9939218
0.045 1.9 1.9824293 1.9826665
0.05 1.9 1.9768676 1.9718776
0.055 1.9 1.9741038 1.9620161
0.06 1.9 1.969629 1.9533651
0.065 1.9 1.9689493 1.9460518
0.07 1.9 1.9660101 1.9400797
0.075 1.9 1.9654397 1.9353642
0.08 1.9 1.9642607 1.9317682
0.085 1.9 1.9632098 1.9291298
0.09 1.9 1.963191 1.9272835
0.095 1.9 1.9621137 1.9260733
0.1 1.9 1.9622778 1.9253604
0.105 1.9 1.9617562 1.9250278
0.11 1.9 1.9615291 1.9249778
0.115 1.9 1.9616341 1.9251316
0.12 1.9 1.9611266 1.9254289
0.125 1.9 1.9614241 1.9258215
0.13 1.9 1.9610872 1.9262745
0.135 1.9 1.9610993 1.9267609
0.14 1.9 1.9612214 1.9272621
0.145 1.9 1.9608239 1.9277644
0.15 1.9 1.9613072 1.9282584
0.155 1.9 1.9607338 1.9287381
0.16 1.9 1.9612463 1.9292002
0.165 1.9 1.9608101 1.9296424
0.17 1.9 1.9610934 1.930064
0.175 1.9 1.960932 1.930465
0.18 1.9 1.960964 1.930846
0.185 1.9 1.9609972 1.9312084
0.19 1.9 1.9609191 1.9315531
0.195 1.9 1.9609906 1.9318814
0.2 1.9 1.9609309 1.932195
0.205 1.9 1.9609651 1.9324946
0.21 1.9 1.9609362 1.9327819
0.215 1.9 1.960974 1.9330583
0.22 1.9 1.9609024 1.9333246
0.225 1.9 1.9610225 1.9335821
0.23 1.9 1.9608483 1.9338312
0.235 1.9 1.9610738 1.9340734
0.24 1.9 1.9608153 1.9343092
0.245 1.9 1.9610891 1.9345393
0.25 1.9 1.9608267 1.9347646
0.255 1.9 1.9610595 1.9349849
0.26 1.9 1.960872 1.9352014
0.265 1.9 1.9610069 1.9354141
0.27 1.9 1.9609229 1.9356236
0.275 1.9 1.9609602 1.9358304
0.28 1.9 1.9609582 1.9360344
0.285 1.9 1.9609331 1.9362359
0.29 1.9 1.960975 1.9364357
0.295 1.9 1.9609214 1.9366333
0.3 1.9 1.9609829 1.9368296
0.305 1.9 1.9609144 1.9370239
0.31 1.9 1.9609899 1.9372168
0.315 1.9 1.9609079 1.9374084
0.32 1.9 1.9609952 1.9375987
0.325 1.9 1.9609059 1.9377882
0.33 1.9 1.9609921 1.9379766
0.335 1.9 1.9609145 1.9381638
0.34 1.9 1.9609766 1.9383504
0.345 1.9 1.9609341 1.9385362
0.35 1.9 1.9609522 1.938721
0.355 1.9 1.9609584 1.9389055
0.36 1.9 1.9609281 1.9390888
0.365 1.9 1.9609788 1.9392717
0.37 1.9 1.9609125 1.9394538
0.375 1.9 1.960989 1.9396355
0.38 1.9 1.9609089 1.9398165
0.385 1.9 1.9609878 1.939997
0.39 1.9 1.960916 1.940177
0.395 1.9 1.9609776 1.9403563
0.4 1.9 1.9609304 1.9405353
0.405 1.9 1.960961 1.9407136
0.41 1.9 1.9609495 1.9408915
0.415 1.9 1.9609405 1.9410691
0.42 1.9 1.9609714 1.9412463
0.425 1.9 1.9609179 1.9414227
0.43 1.9 1.9609943 1.9415989
0.435 1.9 1.9608963 1.9417746
0.44 1.9 1.9610151 1.9419498
0.445 1.9 1.9608794 1.9421246
0.45 1.9 1.9610297 1.9422989
0.455 1.9 1.9608705 1.9424729
0.46 1.9 1.9610349 1.9426465
0.465 1.9 1.9608717 1.9428196
0.47 1.9 1.961029 1.9429924
0.475 1.9 1.9608825 1.9431648
0.48 1.9 1.9610131 1.9433367
0.485 1.9 1.9609009 1.9435084
0.49 1.9 1.9609898 1.9436796
0.495 1.9 1.960924 1.9438503
0.5 1.9 1.9609628 1.9440207
