0.0 2.3 2.174895
0.005 2.095501 2.0749753
0.01 1.8159924 1.886899
0.015 1.8056437 1.8110735
0.02 1.8371815 1.8291667
0.025 1.9015546 1.8935523
0.03 1.9908348 1.9752507
0.035 2.0640894 2.0564692
0.04 2.1398754 2.1264286
0.045 2.1938175 2.1804159
0.05 2.2335288 2.2191052
0.055 2.2637649 2.245986
0.06 2.2760067 2.2646117
0.065 2.2904477 2.2774835
0.07 2.2920789 2.2861948
0.075 2.2973816 2.2918408
0.08 2.2981501 2.2952585
0.085 2.2982195 2.2971125
0.09 2.300304 2.2979162
0.095 2.2986403 2.2980518
0.1 2.3004192 2.2977915
0.105 2.2996047 2.2973194
0.11 2.2996944 2.2967565
0.115 2.3003867 2.2961767
0.12 2.2993865 2.2956233
0.125 2.3003663 2.2951186
0.13 2.2999186 2.2946718
0.135 2.2996316 2.2942839
0.14 2.3008012 2.2939522
0.145 2.2989443 2.2936716
0.15 2.3013447 2.293435
0.155 2.2989118 2.2932372
0.16 2.3011624 2.2930717
0.165 2.2994144 2.2929335
0.17 2.3004592 2.2928183
0.175 2.2999707 2.2927215
0.18 2.2998324 2.2926407
0.185 2.3002361 2.2925725
0.19 2.2996365 2.2925148
0.195 2.3001814 2.2924664
0.2 2.2997353 2.292425
0.205 2.3000567 2.2923896
0.21 2.299808 2.2923594
0.215 2.3001269 2.292333
0.22 2.2996904 2.2923102
0.225 2.3004047 2.292291
0.23 2.299478 2.2922738
0.235 2.3006734 2.292259
0.24 2.2993829 2.2922459
0.245 2.3007083 2.2922342
0.25 2.2995072 2.292224
0.255 2.3004692 2.292215
0.26 2.2997733 2.2922072
0.265 2.3001218 2.2922
0.27 2.3000288 2.292194
0.275 2.2998733 2.2921886
0.28 2.3001694 2.2921836
0.285 2.2997966 2.292179
0.29 2.3001954 2.292175
0.295 2.2998199 2.2921715
0.3 2.3001807 2.2921684
0.305 2.2998412 2.2921655
0.31 2.3001848 2.292163
0.315 2.2998253 2.2921607
0.32 2.3001956 2.2921586
0.325 2.2998125 2.2921567
0.33 2.3001569 2.2921553
0.335 2.2998589 2.2921536
0.34 2.3000402 2.2921522
0.345 2.2999758 2.292151
0.35 2.2998828 2.2921498
0.355 2.3001186 2.292149
0.36 2.29976 2.292148
0.365 2.3002219 2.2921472
0.37 2.2997248 2.2921464
0.375 2.3002436 2.2921457
0.38 2.2997745 2.292145
0.385 2.3001862 2.2921448
0.39 2.2998701 2.2921443
0.395 2.3000827 2.2921436
0.4 2.2999765 2.292143
0.405 2.2999662 2.2921429
0.41 2.3000839 2.2921424
0.415 2.2998521 2.2921422
0.42 2.3001997 2.292142
0.425 2.2997453 2.2921414
0.43 2.3003252 2.2921412
0.435 2.2996551 2.2921412
0.44 2.3004402 2.2921407
0.445 2.2995984 2.292141
0.45 2.3005086 2.2921407
0.455 2.2995901 2.2921405
0.46 2.3004994 2.2921402
0.465 2.2996319 2.29214
0.47 2.3004061 2.29214
0.475 2.2997124 2.2921398
0.48 2.300251 2.29214
0.485 2.2998167 2.29214
0.49 2.3000723 2.2921395
0.495 2.2999341 2.2921395
0.5 2.2999057 2.2921395
